origin_city_name,dest_city_name,n,distance_km,duration_min,duration_mean,duration_max,price_mean
"Toulon, Provence-Alpes-Côte d'Azur, France","Ventimiglia, Liguria, Italia",95,154.16745847955224,2.1666666666666665,5.20578947368421,26.016666666666666,30.34526315789474
"Bordeaux, Nouvelle-Aquitaine, France","Lyon, Auvergne-Rhône-Alpes, France",93,435.4790629359759,5.333333333333333,10.911469534050179,32.833333333333336,58.63548387096775
"Le Havre, Normandie, France","Paris, Île-de-France, France",92,178.29822556537164,2.0,2.6947463768115942,8.75,16.621739130434783
"La Rochelle, Nouvelle-Aquitaine, France","Paris, Île-de-France, France",91,398.50442620975986,3.316666666666667,6.73992673992674,31.083333333333332,48.93956043956044
"Paris, Île-de-France, France","Cholet, Pays-de-la-Loire, France",90,311.18469481767283,2.35,7.4840740740740745,28.0,45.817777777777785
"Aix-en-provence, Provence-Alpes-Côte d'Azur, France","Lyon, Auvergne-Rhône-Alpes, France",89,253.7904801372374,3.0,4.262359550561798,20.583333333333332,24.98314606741573
"London, England, United Kingdom","Paris, Île-de-France, France",87,344.4118225149784,3.6166666666666667,6.083716475095785,39.18333333333333,105.59770114942529
"Bruxelles, Bruxelles-Capitale, Belgique","Le Mans, Pays-de-la-Loire, France",87,433.8287837613475,3.35,9.027777777777777,35.68333333333333,86.17816091954023
"Paris, Île-de-France, France","Montpellier, Occitanie, France",87,595.3025688348713,7.166666666666667,11.192528735632184,32.916666666666664,48.3448275862069
"Aix-en-provence, Provence-Alpes-Côte d'Azur, France","Paris, Île-de-France, France",86,637.9972358632174,4.05,11.001937984496124,29.083333333333332,57.58720930232558
"Troyes, Grand-Est, France","Strasbourg, Grand-Est, France",86,270.8106101441878,4.0,14.08701550387597,38.6,46.46976744186047
"Liège, Wallonie, Belgique","Paris, Île-de-France, France",85,305.19643706030035,3.216666666666667,7.593921568627451,27.866666666666667,67.45647058823529
"Saint-Étienne, Auvergne-Rhône-Alpes, France","Lille, Hauts-de-France, France",83,586.1288755517564,4.1,11.12871485943775,47.583333333333336,89.63614457831325
"Paris, Île-de-France, France","Thiers, Auvergne-Rhône-Alpes, France",81,345.6441423212248,4.0,9.16934156378601,30.833333333333332,42.36543209876543
"Paris, Île-de-France, France","London, England, United Kingdom",81,344.4118225149784,3.9833333333333334,9.428600823045269,35.53333333333333,68.48765432098766
"Dijon, Bourgogne-Franche-Comté, France","Nice, Provence-Alpes-Côte d'Azur, France",80,440.95787687729165,6.166666666666667,13.788749999999999,34.0,65.255
"Nantes, Pays-de-la-Loire, France","Chessy, Île-de-France, France",79,366.61978586803764,3.5,4.139240506329114,8.0,29.417721518987342
"Paris, Île-de-France, France","Chambéry, Auvergne-Rhône-Alpes, France",78,453.1049479059582,3.45,7.1241452991453,14.333333333333334,45.406410256410254
"Paris, Île-de-France, France","Toulon, Provence-Alpes-Côte d'Azur, France",78,693.3130593245695,7.5,8.893162393162394,14.833333333333334,60.36538461538461
